# hladina   x[cm]   y[cm]
  7         -0.02   11.76
  7          2.22   12.49
  7          3.84   14.90
  7          1.55   19.59
  7         -1.99   18.65
  7         -3.50   16.59
  7         -2.19   12.89
  7         -3.27   14.77
  7          3.91   17.50
  7         -0.09   19.58
  6          0.07    9.64
  6          3.54   10.39
  6         11.88   18.97
  6          8.52   14.09
  6         13.13   23.40
  6         -2.85    9.98
  6         -7.39   13.10
  6        -13.10   22.99
  6        -11.70   18.03
  5          0.19    6.82
  5         17.73   12.48
  5          9.61    9.41
  5          4.51    7.44
  5        -16.01   10.93
  5         -9.41    8.59
  5         -3.59    7.07
  4          0.15    3.43
  4         17.57    6.15
  4          9.70    4.68
  4          4.22    3.79
  4        -15.91    4.87
  4         -8.28    3.73
  4         -3.86    3.41
  3          0.18   -0.13
  3         16.26   -0.44
  3          9.39   -0.17
  3          3.99   -0.08
  3         -3.77    0.05
  3         -9.62   -0.10
  3        -16.93   -0.17
  2          0.06   -3.89
  2         17.38   -5.14
  2          9.54   -4.18
  2          4.38   -3.69
  2        -16.08   -5.87
  2         -9.39   -4.90
  2         -4.03   -4.16
  1          0.14   -7.55
  1         17.45  -12.78
  1          9.07   -9.34
  1          3.32   -7.63
  1        -15.38  -12.89
  1         -8.77   -9.47
  1         -2.97   -7.67
  0          0.25  -10.46
  0          8.41  -22.71
  0          7.79  -17.72
  0          5.65  -13.17
  0          3.18  -11.01
  0         -8.64  -22.75
  0         -7.30  -17.42
  0         -4.27  -12.86
  0         -2.28  -11.04
