#f[Hz] U_{M0}[mV] U_2[mV] phi_{M->2,odecteno}[deg] |G|[kOhm^{-1}] phi_G[deg]
860  11.6 217 -80.1 0.004266 80.1  
939  9.93 370 -69.8 0.008468 69.8  
964  8.51 450 -60.2 0.012017 60.2  
981  7.20 503 -50.1 0.015877 50.1  
990  6.40 531 -40.1 0.018856 40.1  
997  5.86 547 -30.5 0.021214 30.5  
1003 5.48 551 -20.3 0.022851 20.3  
1009 5.27 559 -10.3 0.024107 10.3  
1014 5.18 559  0.10 0.024526 -0.10 
1019 5.28 555  9.50 0.023889 -9.50 
1024 5.48 551  20.4 0.022851 -20.4 
1031 5.94 539  31.3 0.020622 -31.3 
1039 6.55 527  42.4 0.018285 -42.4 
1048 7.27 500  50.0 0.015630 -50.0 
1064 8.41 454  60.4 0.012268 -60.4 
1093 9.86 374  69.6 0.008620 -69.6 
1190 11.4 225  80.1 0.004485 -80.1  
