# um 0.3*mV
0.792 0.1
0.853 0.2
0.879 0.3
0.899 0.4
0.914 0.5
0.925 0.6
0.942 0.7
0.960 0.8
0.975 0.9
0.985 1.0
1.000 1.1
1.015 1.2
1.030 1.3
1.045 1.4
1.061 1.5
1.075 1.6
1.092 1.7
1.107 1.8
1.130 1.9
1.154 1.93
1.160 1.91
1.175 1.9
1.200 2.05
1.225 2.23
1.250 2.41
1.275 2.45 
1.300 2.55
1.325 2.6
1.350 2.50 
1.362 2.3
1.375 2.2
1.400 2.11
1.425 2.32
1.450 2.5
1.475 2.4
1.485 2.2
1.500 2.01
1.515 1.80
1.525 1.53
1.550 1.40
1.575 1.39
1.600 1.21
1.625 1.10
1.650 1.06
1.675 0.9
1.680 0.8
1.700 0.67
1.725 0.7
1.750 0.55
1.775 0.68
1.800 0.62
1.825 0.5
1.850 0.32
1.875 0.25
1.900 0.18
1.930 0.030











   














































